player,batter_score_scaled,bowler_score_scaled
AE Jones,0.6765972544182981,
Anisha Patel,0.11579495470922108,0.292209746618584
CAE Hill,0.2521092314490728,
CK Boycott,0.23243121126106592,0.4325627208808078
D Perrin,0.263653041455517,0.0
E Jones,0.8327814054691225,0.5860931307018512
EA Russell,0.16750027905729184,0.3429205905657335
EL Arlott,0.2978470811952615,0.4474165781113826
GK Davis,0.19542338659149622,0.4912667308366721
GM Davies,0.4712445746247636,
HL Baker,0.14206270351343034,0.2789384095323395
IECM Wong,0.20963878562812377,0.545220371748887
M Home,0.12554767081244328,
Marie Kelly,0.5590152951576912,0.6025825735918954
P Davies,0.15426193837746843,
RA Fackrell (CF),0.2165000454081828,0.6628374336574072
S Butler,0.1623268434869423,0.16078544439448733
S Glenn,0.3212499282982713,0.4055116273954674
TF Brookes,0.27366315752233494,0.22718841911788054
AD Presland,0.1096803561758943,0.23925075761669365
AJ Freeborn,0.39007977242075875,
B Ellis,0.25921600250326166,0.29352991101566955
B Harmer,0.17538747766569274,
E Claridge,0.19064637071517235,
G Ballinger,0.1993144419454172,0.038568356972847696
Ilenia Sims,0.0,
J Groves,0.0,0.0
KE Bryce,0.6679166382687136,0.7989149347354263
KL Gordon,0.2017297429728317,0.7963736054596268
LF Higham,0.270313105894651,0.4824703978865179
LG Kellogg,0.01872655056016606,0.11610313311512803
ML Kirk,0.21005967227148076,
N Harman,0.23780723012251492,0.10234691992297686
RA Fackrell (L),0.09731172695498234,
S Munro,0.15274397810714094,0.3572681282150812
S Pai,0.1526276212214361,
SB Odedra,0.28598502425504085,0.07360224055042877
SJ Bryce,0.7821749847895861,
T Graves,0.40388097504432396,0.6005555991352269
TT Beaumont,0.42832489719489875,
Y Graves,0.20949996749218347,0.27871425819277995
A Campbell,0.4665777747054276,
AL MacDonald,0.3237999439275878,0.24925112674232483
BA Langston,0.45405353431849343,0.9152442716629107
BAM Heath,0.4594946407645101,
HJ Armitage,0.5266038988186567,0.4677097693616001
HL Fenby,0.21343250550734338,0.0
JL Gunn,0.4306839395883309,0.636681463734035
KA Levick,0.15327561005316406,0.8447622147036649
